song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language,explicit_content,label,composer,producer,collaboration
SP0065,Training mean.,James Austin,And than.,Hip-Hop,2000-06-20,,57,11764423,French,Yes,Def Jam,Joshua Marks,Christopher Rogers,
SP0066,At offer.,Edward Jordan,South.,Classical,2019-06-05,223.0,23,13815171,Spanish,No,Indie,Mark Smith,Tracy Lee,
SP0067,Drop here.,William Torres,Reduce.,Electronic,2011-08-14,241.0,86,92470565,English,No,Atlantic Records,Regina Garrett,Justin Jones,Ryan Bond
SP0068,Never area.,Jason Cherry,Picture environmental.,Pop,1997-08-02,300.0,54,97340958,English,No,Sony Music,Ms. Amber Brennan,David Perkins,
SP0069,Church off impact.,Heidi Moore,Affect.,Pop,2017-03-10,347.0,78,49556458,English,No,Sony Music,Robert Sutton,Tonya Sosa,
SP0070,Industry good.,Joshua Castillo,Public interview.,Hip-Hop,2004-12-17,185.0,75,66059210,English,No,Sony Music,Mark Wilson,Amanda Garcia,
SP0071,Officer her.,Elizabeth Peterson,Collection sign.,Country,2010-07-07,,12,30093983,Italian,Yes,Universal Music,David Griffith,Jeremy Le,
SP0072,Pass customer newspaper.,Daniel Johnson,Art big.,Hip-Hop,2019-11-29,196.0,31,13460853,English,Yes,Def Jam,Rachel Dunn,Anna Chapman,Michelle Brooks
SP0073,Stage hundred.,Alex Allen,Role.,Pop,2014-08-09,169.0,17,63733434,Spanish,Yes,Indie,Nichole Collins,Brian Smith,
SP0074,By actually lay.,Douglas Bean,Real southern.,Pop,2017-11-06,207.0,48,48948383,English,Yes,Warner Music,Eduardo Jackson Jr.,Sarah Vance,Jorge Scott
SP0075,Finally player return.,Angela Moss,Course.,Electronic,2011-08-10,205.0,75,64534817,Italian,No,Indie,Tony Miller,Stephanie Williams,
SP0076,Must education.,Dr. Hector Nelson,Director bar.,Electronic,1999-09-10,278.0,24,74446691,English,Yes,Warner Music,Samantha Miller,Jessica Pham,
SP0077,Against.,Barbara Barber,Method.,Pop,2010-05-25,235.0,52,95567211,English,No,Atlantic Records,Stacey Garcia,Heather Smith,
SP0078,Growth radio.,Jack Jackson,Method.,Pop,1999-05-28,263.0,69,82127709,Spanish,No,Def Jam,Cody Adams,Eric Tyler,Steven Burns
SP0079,System determine.,Andrea Moore,Item stuff.,Hip-Hop,2023-03-28,242.0,28,78542431,English,No,Def Jam,Douglas Perkins,Kristy Roach,
SP0080,Line respond.,Michael Hester,Congress system.,Hip-Hop,2009-02-16,204.0,85,39434707,English,No,Sony Music,Kimberly Martinez,Clifford Wall,
SP0081,Sell far.,Richard Valdez,Imagine until.,Hip-Hop,2014-04-18,242.0,76,86801946,English,Yes,Atlantic Records,Luis Schultz,Elizabeth Little,
SP0082,Every light how human.,Eric Baker,Past.,Pop,2014-09-27,158.0,100,42662587,English,Yes,Sony Music,Erin Watson,Alexander Kim,Ann Michael
SP0083,Past determine college.,Robert Mills,Wind.,Electronic,2022-12-03,280.0,45,73461128,English,Yes,Universal Music,Mr. Michael Davis DDS,Lauren Jones,
SP0084,Boy perform management.,Paula Davis,Conference.,Electronic,2024-05-05,,60,28675507,English,Yes,Universal Music,Gary Nelson,Abigail Sampson,
SP0085,Establish own.,Shannon Newman,Use.,Hip-Hop,2019-01-21,94.0,74,75107936,English,Yes,Universal Music,Jesus Fleming,Anthony Sims,
SP0086,Trial necessary worry.,Nicole Anderson,Process center.,Electronic,2008-07-24,208.0,35,43989232,,No,Universal Music,Devin Dougherty,Kimberly Miller,
SP0087,But these.,Stephanie Romero,Increase.,Pop,1999-01-31,220.0,99,81838333,French,No,Sony Music,Jeff Smith,Stephen Garza,
SP0088,Protect pull.,Christopher Hill,Item.,Pop,2013-01-12,299.0,11,40355702,English,No,Atlantic Records,Katelyn Sandoval,Jose Maynard,
SP0089,Theory travel.,Jake Benton,Clearly.,Country,2009-11-27,179.0,66,69638071,English,No,Indie,Craig Gonzalez,Ashley Lee,
SP0090,Why they.,Joseph Dudley,Wear.,Hip-Hop,2010-10-31,247.0,65,70582557,English,No,Sony Music,Christine Walton,Nathan Brown,Shawna Rogers
SP0091,Chance draw.,Kelly Higgins,Worry.,Jazz,2016-01-09,176.0,50,55253032,English,Yes,Indie,Jessica Poole,Michael Coleman,
SP0092,Identify quite control.,Lori Huff,City enough.,Pop,2012-09-30,285.0,85,92286744,English,Yes,Warner Music,Randy Butler,Benjamin Marks,
SP0093,Single year.,Nancy Benton,Spring.,Hip-Hop,2014-05-19,186.0,98,40138044,English,No,Indie,Kelli Hill,Dawn Rogers,
SP0094,Challenge set.,David Jefferson,Beat huge.,Hip-Hop,2017-01-28,,50,1202360,German,Yes,Sony Music,Rebecca Colon,James Moore,
SP0095,Provide begin me.,Stephanie Chung,American every.,Pop,1997-12-18,259.0,12,16347723,English,Yes,Indie,Valerie Oliver,Richard Ramirez,
SP0096,Determine step.,Sarah Moore,Defense.,Country,1998-03-25,261.0,76,60418523,English,Yes,Warner Music,Justin Burns,Dana Reeves,
SP0097,Modern need.,Kayla Barrett,Ability.,Hip-Hop,2006-10-01,235.0,47,77132457,Japanese,No,Indie,Amy Vazquez,Dylan Cuevas,
SP0098,Skin manage sound.,Anna Reed,Per watch.,Hip-Hop,2004-10-01,259.0,51,43030083,English,No,Sony Music,Patrick Reynolds,Sarah Cantu,Brianna Clayton
SP0099,Clear practice.,Nicholas Johnson,Child decision.,Electronic,2023-08-11,149.0,23,57256173,Korean,No,Def Jam,Aaron Taylor,Peter Mcgee,
SP0100,Dinner various finally.,Melissa Kerr,Hair education.,Folk,2019-10-03,250.0,90,4516034,Japanese,Yes,Warner Music,Eduardo King MD,Christina Greene,Vickie Stephens
SP0101,All benefit husband.,Brittany Jones,New black.,Hip-Hop,2001-12-15,247.0,21,97891200,Korean,Yes,Sony Music,Tyler Thomas,Scott Hicks,
SP0102,Order break family.,Christopher Warren,Hot.,Electronic,2014-09-01,136.0,45,97149186,Spanish,No,Sony Music,Crystal Reynolds,Jeffery Case,Anthony Middleton
SP0103,Particularly trouble.,Stephanie Aguilar,Social draw.,Folk,1996-10-05,,56,66992567,English,No,Universal Music,Tara Mccall,Amanda Maldonado,Scott Butler
SP0104,Of involve.,Alexander Jackson,Question less.,Classical,2019-01-27,240.0,98,25174977,English,Yes,Indie,Darren Christensen,Felicia Bray,
SP0105,Learn public account.,Brian Rogers,Require.,Hip-Hop,2010-05-04,238.0,67,98604815,German,Yes,Sony Music,Chelsea Davis,Douglas Neal,Jacqueline Wang
SP0106,Direction standard response.,Steven Strong,Culture.,Hip-Hop,2019-08-25,274.0,59,53712374,German,No,Universal Music,Cindy Cannon,Whitney Johnson,
SP0107,Professional relate throw.,Michael Bennett,Theory.,Electronic,2007-07-14,193.0,41,83593751,English,Yes,Indie,Phillip Young,Jerry Brown,
SP0108,Financial bank win.,Timothy Jones,Debate.,Hip-Hop,2011-03-01,,44,4418605,French,No,Universal Music,Bryan Romero,Elizabeth Ellis,
SP0109,Hospital skin.,Ashley Vega,Knowledge.,Pop,2015-04-03,217.0,88,43543378,English,Yes,Indie,Stephen Hamilton,Joseph Miller,Laura Torres
SP0110,Statement carry since.,Annette Baxter,People only.,Hip-Hop,1999-06-02,129.0,63,1894746,English,No,Indie,Anna Williams,Phillip Brady,
SP0111,Grow relationship generation.,Melissa Jenkins,Begin.,Electronic,2001-02-06,231.0,13,10686803,French,No,Indie,Jessica Rojas,Jamie Davis,Michael Fox
SP0112,Mission group deal.,Brian Stewart,Space.,Classical,2017-06-18,289.0,69,89752744,English,No,Indie,Courtney Stanton,Claudia Stevenson,
SP0113,Close institution candidate.,Joel Richardson,Must natural.,Electronic,2015-08-20,205.0,8,15166107,English,Yes,Atlantic Records,Christine Li,Jennifer Shea,
SP0114,Nor.,Jeffery Norris,Series.,Hip-Hop,2020-03-03,258.0,32,4875181,English,Yes,Atlantic Records,Michael Castro,Ana Ortiz,
SP0115,Significant travel center.,Kimberly Lewis,Call.,Pop,1994-12-21,,59,76583834,English,Yes,Indie,Dr. Nicole Diaz,Sara Serrano,
SP0116,Pass research many much.,Kristen Padilla,Music.,Electronic,2006-03-26,359.0,35,33603124,English,Yes,Sony Music,Michael Buck,William Phillips,
SP0117,Report name.,Carolyn Brown,When.,Hip-Hop,2008-11-03,268.0,98,12518523,English,Yes,Indie,Christy Johnson,Patricia Hughes,
SP0118,Attorney they.,Cindy Hunt DDS,Address perhaps.,Hip-Hop,1995-07-28,275.0,54,35548482,Korean,No,Warner Music,Mary Medina,Kara Wells,Angela Aguilar
SP0119,Thank.,Kayla Campos DDS,Run school.,Classical,2024-04-08,295.0,64,22869748,German,No,Sony Music,Makayla Richardson,Shannon Mcneil,Samuel Fisher
SP0120,Money use.,Kevin Ford,Investment near.,Hip-Hop,2009-09-21,230.0,66,46593516,English,No,Sony Music,Nicole Mercado,Cynthia Anderson,Scott Gibson DDS
SP0121,Agree option base.,Beverly Chang,War.,Hip-Hop,1995-04-14,180.0,5,31439253,,Yes,Warner Music,Kevin Morgan,Maurice Blevins,
SP0122,Adult.,Erin Ware,Believe experience.,Hip-Hop,2020-04-13,257.0,46,61229551,English,Yes,Sony Music,Nicholas Carlson,Kayla Walsh,James Robertson
SP0123,Modern in he.,Felicia Henderson,Again figure.,Folk,2010-09-26,267.0,10,18547036,English,Yes,Atlantic Records,Dr. Madison Gray,Anthony Hodges,
SP0124,Throughout use meet.,Jason Robbins,Mind.,Jazz,2005-09-29,258.0,6,95623479,English,No,Indie,Charlene Morales,Daniel Callahan,Michael Lewis
SP0125,Fight capital air.,Patrick Green,Woman.,Classical,2010-03-10,345.0,84,44995937,,Yes,Def Jam,Michael Andersen,Kaitlyn Matthews,
SP0126,She him score.,Mr. Nathan Robles,Law.,Electronic,1995-11-25,201.0,60,41459452,English,No,Warner Music,Kristi Adams,Steve Levy,
SP0127,Make step such.,Shane Alvarez,Arrive my.,Electronic,1997-09-13,186.0,60,18504915,Italian,No,Atlantic Records,Carmen Wiley,Jonathon Foley,
SP0128,Too military.,Matthew Davidson,Sing argue.,Pop,1999-01-07,266.0,20,75923930,English,No,Sony Music,Cynthia Brooks,Crystal Guerra,
SP0129,Smile quite.,Ronald Murphy,Natural interesting.,Hip-Hop,2021-02-24,240.0,24,46308044,English,Yes,Universal Music,Nancy Nelson,Erin Fox,Brian Hill
SP0130,Down ability.,Paige Smith,Too.,Pop,2023-11-04,246.0,46,53356430,English,Yes,Indie,Cameron Foster,Michael Rice,Carrie Scott
SP0131,Trouble teacher base.,Lisa Stone,White.,Electronic,2019-02-07,268.0,38,47487833,Italian,Yes,Indie,Mr. George Love DDS,Peter Miller,
SP0132,Financial important land.,Tammy Weaver,Like.,Country,2005-12-25,244.0,20,93253297,English,Yes,Atlantic Records,Katherine Riley,Donna Wilson,John Avila
SP0133,Manager story.,Janice Watson,Choose end.,Pop,2003-01-01,267.0,2,95061885,English,Yes,Def Jam,Sandra Robinson,Alexander Benson,
SP0134,Culture street seek.,Barbara Hall,Likely.,Pop,2019-12-12,222.0,81,82043515,,No,Sony Music,Jennifer Flores,Felicia Roman,
SP0135,Sea activity chair.,Robert Ramirez,Detail decision.,Electronic,1995-05-27,190.0,82,3980519,German,Yes,Indie,Jose Pollard,Wendy Kelley,Christine Kelly
SP0136,Over year.,Nancy Miles,Business.,Pop,1998-11-10,274.0,20,5441841,English,No,Atlantic Records,Megan Marquez,Denise Fox,
SP0137,Begin rest share.,Nathaniel Porter,Mission enjoy.,Pop,2006-09-27,224.0,35,11762265,English,Yes,Indie,Mary Guzman,Chelsey Smith,Julie Murphy
SP0138,Whole probably hour.,Scott Hart,Medical.,Pop,2000-03-12,243.0,100,79997877,English,No,Def Jam,Angela Reynolds,Regina Roth,Joseph Gordon
SP0139,One deep product.,Teresa Wang,Offer medical.,Pop,2003-10-19,301.0,13,34632683,English,Yes,Warner Music,Jessica Simmons,Heather Roberts,
SP0140,Learn situation west.,Elizabeth Garcia,Instead tell.,Classical,2013-01-16,302.0,96,42141496,English,Yes,Warner Music,Scott Smith,Michael Farley,Maria Hebert
SP0141,Lose candidate trip.,Tamara Smith,Physical road.,Hip-Hop,2019-05-09,244.0,35,20958439,English,No,Def Jam,Margaret Johnson,Miss Nicole Butler,
SP0142,By follow.,Abigail Bonilla,Pick like.,Country,2010-07-30,287.0,2,58414450,English,Yes,Warner Music,Amy Miller,Brian Velasquez,
SP0143,Mrs husband.,David Wheeler,Two.,R&B,1996-04-11,292.0,58,74897479,English,No,Universal Music,Gary Johnson,Brett Taylor,
SP0144,Represent new voice.,Christopher Wilson,Message almost.,Hip-Hop,2012-05-31,,68,95898481,Korean,Yes,Warner Music,Alyssa Sanchez,James Henry,
SP0145,At agreement.,Jennifer Graham,Activity deal.,Hip-Hop,2020-07-14,236.0,52,40370938,French,Yes,Sony Music,Jordan Pratt,Patricia Griffin,
SP0146,Pass fly authority.,Molly Moore,Find simply.,Electronic,2008-07-12,254.0,60,67104079,English,Yes,Atlantic Records,Melissa Mcdowell,Rebecca Davenport,
SP0147,Important require detail.,Kayla Tanner,First.,Pop,2020-10-10,227.0,53,50848475,English,No,Universal Music,Amanda Robinson,Tammy Williamson,
SP0148,Hot into.,Caitlyn Cantu,Subject.,Electronic,2011-07-08,233.0,88,40824471,Italian,Yes,Universal Music,Henry Sutton,Colleen Johnson,
SP0149,Million air.,Mark Tran,I happen.,Electronic,2001-12-28,,5,4081090,Spanish,Yes,Universal Music,Daniel Charles,Thomas Fields,
SP0150,Difficult there conference change.,Benjamin Costa,World out.,Hip-Hop,2014-03-06,208.0,43,28103855,German,Yes,Def Jam,Sara Macdonald,Tracy Carr,
SP0151,Get another.,Jessica Taylor,Measure office.,Pop,1998-07-15,352.0,83,89910046,Spanish,No,Sony Music,Kevin Berg,Miranda Klein,
SP0152,Remain detail result.,Pam Harris,Including.,Hip-Hop,2012-05-16,177.0,91,7943592,English,No,Warner Music,Mary Perez,William Hodges,Dawn Peters
SP0153,Prevent during officer purpose.,Renee Sullivan,Ago.,Pop,2002-05-19,283.0,99,97797749,English,No,Def Jam,Megan Small,Brent Peterson,Dr. Victoria Carr
SP0154,Life reveal expert.,Donald Vasquez,Everybody step.,Pop,2006-07-08,290.0,16,33906265,English,Yes,Warner Music,Shannon Jenkins,John Brown,
SP0155,Meeting focus until.,Alex Snow,Time.,R&B,2019-05-17,239.0,37,12208592,German,Yes,Def Jam,Mr. James Silva,Jordan Russell,
SP0156,Budget wear.,Patrick Daugherty,Type including.,Country,2014-07-03,202.0,67,7768964,Spanish,No,Indie,Catherine Walker,Jennifer Johnson,
SP0157,Choose my nothing check.,Ellen Humphrey,Hard scene.,Hip-Hop,2015-05-29,294.0,86,23453600,English,No,Sony Music,Brett Clark,Melinda Kennedy,
SP0158,Here coach.,Rachel Carter,Fine short.,Classical,2002-11-10,247.0,87,29312798,Japanese,No,Atlantic Records,Terry Clark,Ronald Griffin,
SP0159,Across figure.,Mr. Kevin Maxwell,Book.,Electronic,2023-06-01,274.0,14,5598512,English,No,Warner Music,Cathy Lopez,Anne Miller,
SP0160,Loss through player.,Yolanda Schultz,Field as.,Pop,1999-08-08,183.0,80,21478058,Italian,No,Sony Music,Bobby Myers,Heather Mcconnell,
SP0161,Say pull work.,Suzanne Ramsey,Page letter.,Electronic,2021-08-30,269.0,98,26818137,English,Yes,Sony Music,Kelly Johnston,Sarah Campbell,
SP0162,Hold mother issue.,Albert Leon,Bad debate.,Hip-Hop,2009-02-20,272.0,41,37535644,Japanese,No,Def Jam,Shawn Harrington,Alison Evans,
SP0163,Dog soldier.,Catherine Ramirez,Cover no.,Folk,2018-07-29,,71,35641585,Spanish,Yes,Def Jam,Duane Garcia,Jeremy Jones,Charles Bell
SP0164,Significant their.,Kevin Rocha,Majority decide.,Folk,1996-08-23,,15,89532726,English,Yes,Def Jam,Emily Nelson,Nicole Price,Frank Sullivan
SP0165,New general.,Nathan Hicks,Expert.,Hip-Hop,2023-04-03,241.0,70,6804139,English,Yes,Universal Music,Mikayla Hood,William Anderson MD,Shawna Bauer
SP0166,Ten show understand.,Jeremy Lawrence,Series he.,Hip-Hop,2004-09-22,318.0,74,30932992,English,No,Def Jam,Brittany Knapp,Jeremy Cunningham,
SP0167,Individual scientist image avoid.,Tony Jenkins,Others.,Pop,2004-12-28,141.0,41,93897760,English,No,Sony Music,Brian Mcdonald MD,Shelly Flores,Dillon Thomas
SP0168,Test adult.,Michael Lee,President.,Electronic,2021-01-20,198.0,13,41938172,English,Yes,Universal Music,Kerry Palmer,Anthony Mcknight,
SP0169,Financial raise.,Dorothy Warren,Enter foreign.,Pop,2017-01-18,263.0,98,36198006,English,No,Sony Music,Troy Potter,James Barnes,
SP0170,Stage floor service.,Michael Yates,Realize fact.,Pop,2018-01-03,,89,97117477,,Yes,Sony Music,Amy Dixon,Joanne Williams,
SP0171,Travel glass.,Pedro Gomez,If mouth.,Electronic,2008-05-05,207.0,28,21913155,Spanish,Yes,Sony Music,Jessica Wright,Martin Wilkerson,
SP0172,Yard rise prove.,Brooke Mason,Remember authority.,Hip-Hop,2024-07-11,182.0,18,50739023,English,Yes,Indie,Tiffany Smith,Troy Olson,
SP0173,Democrat government.,Alexander White,Forget.,Hip-Hop,2012-12-25,259.0,53,6385792,English,Yes,Indie,Michelle Perry,Nicholas Larson,
SP0174,Relate decide others.,Danielle Marshall,Produce.,Electronic,2019-05-11,220.0,19,84332166,Italian,No,Indie,Alyssa Tucker,Michael Torres,
